iter	RMSE
0	68605.33948
1	67608.87342
2	66795.47095
3	65940.41237
4	65104.78214
5	64311.51728
6	63572.32927
7	62845.49291
8	62146.47365
9	61582.6572
10	61001.85822
11	60374.15914
12	59796.33766
13	59332.74642
14	58824.94262
15	58372.59821
16	57913.11355
17	57451.59306
18	56994.51452
19	56621.61076
20	56257.27149
21	55937.72442
22	55636.10756
23	55290.2653
24	54998.83525
25	54745.33743
26	54506.71196
27	54240.46198
28	53998.86109
29	53789.89962
30	53588.47094
31	53381.60633
32	53191.82998
33	53028.05216
34	52843.22188
35	52714.92309
36	52534.71325
37	52389.66727
38	52246.47343
39	52113.70611
40	51989.23713
41	51868.91096
42	51772.75563
43	51668.85348
44	51571.35358
45	51479.50584
46	51379.64302
47	51280.55854
48	51191.74674
49	51117.40157
50	51039.80257
51	50967.24166
52	50899.61069
53	50851.82633
54	50785.53985
55	50716.52266
56	50662.31868
57	50607.08946
58	50559.81442
59	50505.0031
60	50455.10144
61	50410.08082
62	50368.91796
63	50322.5416
64	50283.51979
65	50257.29592
66	50212.40115
67	50182.49767
68	50160.85151
69	50133.49231
70	50101.8499
71	50078.74959
72	50038.61796
73	50011.31044
74	49982.84299
75	49959.88759
76	49932.00325
77	49908.83292
78	49893.06472
79	49865.06702
80	49850.85764
81	49831.71529
82	49811.45202
83	49795.93534
84	49772.14219
85	49752.03826
86	49736.36622
87	49715.7719
88	49701.69176
89	49685.8003
90	49676.73936
91	49663.33786
92	49650.63796
93	49634.58663
94	49619.36457
95	49600.17233
96	49589.07507
97	49568.65265
98	49553.47206
99	49535.2176
100	49518.1452
101	49513.70015
102	49506.2044
103	49496.25034
104	49481.6444
105	49472.67632
106	49462.16022
107	49452.7855
108	49440.0476
109	49431.4911
110	49417.42155
111	49414.49158
112	49403.0826
113	49393.62488
114	49389.2811
115	49379.20777
116	49374.70643
117	49366.96218
118	49354.11209
119	49352.05791
120	49339.85417
121	49327.12459
122	49313.78393
123	49302.53514
124	49292.74684
125	49287.96852
126	49279.73721
127	49275.12962
128	49266.99611
129	49265.22483
130	49259.76865
131	49253.76069
132	49246.57622
133	49237.22284
134	49231.69271
135	49224.84391
136	49218.6683
137	49214.89091
138	49206.54183
139	49194.76172
140	49191.47729
141	49186.68004
142	49176.03685
143	49168.869
144	49162.79001
145	49157.20399
146	49154.8319
147	49149.78727
148	49141.8156
149	49140.44593
150	49139.98188
151	49133.30816
152	49129.50225
153	49123.17744
154	49116.70486
155	49108.72249
156	49102.26606
157	49091.12191
158	49088.5429
159	49079.66034
160	49073.84362
161	49066.20943
162	49059.0033
163	49053.15414
164	49049.80086
165	49047.12554
166	49044.28081
167	49042.94948
168	49035.69601
169	49033.53519
170	49032.49209
171	49024.33418
172	49022.0552
173	49019.36801
174	49007.35972
175	48998.73525
176	48992.971
177	48989.55954
178	48981.95838
179	48972.92115
180	48969.59337
181	48958.19345
182	48950.72194
183	48948.59359
184	48943.01226
185	48934.08108
186	48928.55973
187	48928.06996
188	48919.63459
189	48914.55774
190	48912.11551
191	48905.25597
192	48898.26736
193	48892.18455
194	48886.2936
195	48880.48525
196	48879.84172
197	48873.59443
198	48865.32201
199	48856.40785
200	48851.65165
201	48847.71196
202	48839.68055
203	48836.93154
204	48829.25217
205	48818.72838
206	48817.02668
207	48806.02823
208	48801.70429
209	48791.34125
210	48787.4366
211	48784.12139
212	48779.72611
213	48776.19152
214	48768.1501
215	48765.18713
216	48759.82829
217	48754.71849
218	48751.28299
219	48744.50169
220	48737.09368
221	48733.1886
222	48726.87707
223	48717.98901
224	48710.55915
225	48700.62313
226	48696.3138
227	48693.67219
228	48686.35159
229	48678.43766
230	48672.46398
231	48665.53823
232	48658.86437
233	48652.02087
234	48643.63894
235	48640.26286
236	48636.26845
237	48634.99563
238	48629.72559
239	48623.00685
240	48614.45493
241	48609.99307
242	48607.28668
243	48604.38518
244	48598.7705
245	48595.19462
246	48589.79867
247	48584.90481
248	48580.77861
249	48577.80406
250	48575.37765
251	48571.21001
252	48570.67832
253	48564.11227
254	48561.23093
255	48558.17768
256	48550.46494
257	48546.82964
258	48542.09342
259	48540.3047
260	48535.20461
261	48534.18097
262	48529.3105
263	48526.75661
264	48524.79575
265	48520.84893
266	48518.06627
267	48517.26163
268	48513.82818
269	48511.42561
270	48509.46345
271	48507.43292
272	48505.27752
273	48503.55751
274	48502.86286
275	48501.58734
276	48498.08042
277	48495.95834
278	48494.30662
279	48492.2592
280	48488.37385
281	48484.51556
282	48482.95177
283	48481.43081
284	48476.48488
285	48475.03917
286	48470.42354
287	48469.05222
288	48464.10255
289	48462.7703
290	48456.48886
291	48452.53137
292	48448.32893
293	48444.93109
294	48443.37663
295	48442.64847
296	48439.75255
297	48437.15757
298	48435.20837
299	48429.81159
300	48426.34272
301	48421.96074
302	48420.40609
303	48417.64424
304	48415.65596
305	48414.09596
306	48409.78688
307	48407.10163
308	48403.21058
309	48401.12231
310	48400.43924
311	48397.44584
312	48394.31561
313	48393.3048
314	48389.36757
315	48385.39546
316	48381.14017
317	48380.03888
318	48379.58658
319	48378.23507
320	48377.89939
321	48377.39954
322	48373.38781
323	48368.71677
324	48367.83584
325	48362.56925
326	48360.53992
327	48356.4643
328	48353.11856
329	48348.75185
330	48346.63322
331	48342.0053
332	48341.17702
333	48334.49717
334	48331.44002
335	48331.06429
336	48330.70699
337	48329.83836
338	48327.11142
339	48325.58181
340	48322.69511
341	48321.44375
342	48318.54609
343	48313.86998
344	48313.2502
345	48310.91081
346	48310.5559
347	48308.5809
348	48304.19921
349	48303.65997
350	48302.47861
351	48298.64148
352	48295.3508
353	48293.99112
354	48290.8527
355	48288.43447
356	48287.67043
357	48286.96328
358	48283.79424
359	48283.4361
360	48282.61703
361	48281.83518
362	48281.4131
363	48279.64593
364	48275.65397
365	48270.74143
366	48268.4326
367	48264.45726
368	48261.94318
369	48259.56088
370	48258.7389
371	48256.66174
372	48252.94091
373	48249.44092
374	48247.09471
375	48244.43615
376	48243.31645
377	48241.49541
378	48240.47291
379	48238.45108
380	48236.73332
381	48234.30013
382	48233.83252
383	48232.12187
384	48230.06689
385	48228.63433
386	48228.39423
387	48226.52458
388	48225.77294
389	48224.23789
390	48222.87069
391	48221.21587
392	48220.20671
393	48218.18339
394	48214.07799
395	48213.85427
396	48212.75318
397	48211.99813
398	48208.71885
399	48208.12048
400	48206.74787
401	48204.78811
402	48203.95614
403	48200.27867
404	48198.10733
405	48197.86735
406	48196.122
407	48194.99302
408	48192.63065
409	48190.91609
410	48190.20338
411	48189.82795
412	48186.98079
413	48185.41639
414	48182.53003
415	48182.23385
416	48179.39089
417	48177.8382
418	48177.66773
419	48176.68388
420	48174.5384
421	48171.846
422	48169.87847
423	48168.76298
424	48168.56139
425	48167.05086
426	48166.88018
427	48166.5641
428	48166.22782
429	48163.91677
430	48163.86999
431	48161.65821
432	48161.46461
433	48159.85666
434	48157.47372
435	48155.25387
436	48154.51913
437	48153.71188
438	48152.47231
439	48152.19133
440	48149.58486
441	48147.05017
442	48146.5687
443	48143.45932
444	48141.64336
445	48140.12128
446	48138.3889
447	48136.79824
448	48136.46869
449	48135.53262
450	48135.20896
451	48132.57988
452	48130.88577
453	48129.44519
454	48127.9373
455	48125.17647
456	48122.74627
457	48122.44229
458	48122.28616
459	48122.15675
460	48121.95854
461	48120.41175
462	48119.30293
463	48118.68555
464	48118.63376
465	48114.80421
466	48113.77552
467	48110.94929
468	48108.23053
469	48107.6559
470	48106.93038
471	48104.24524
472	48101.4585
473	48098.67349
474	48097.30659
475	48094.70858
476	48093.15206
477	48091.65467
478	48090.79407
479	48089.29364
480	48085.69132
481	48084.38696
482	48081.53778
483	48079.98843
484	48078.61487
485	48076.9498
486	48075.62781
487	48074.48035
488	48072.03394
489	48069.79739
490	48068.45029
491	48067.58262
492	48066.96994
493	48065.79532
494	48064.85154
495	48064.63497
496	48063.90449
497	48063.30005
498	48060.85462
499	48059.49192
500	48056.61522
501	48055.22546
502	48053.54148
503	48053.09799
504	48052.27612
505	48051.64534
506	48050.71533
507	48049.62227
508	48047.62455
509	48046.29562
510	48045.05469
511	48044.58343
512	48044.14272
513	48042.73279
514	48041.27039
515	48040.51818
516	48039.05857
517	48037.92909
518	48037.74184
519	48036.96134
520	48035.8183
521	48035.55695
522	48034.05552
523	48033.01153
524	48030.78215
525	48028.20132
526	48026.61516
527	48025.33418
528	48024.85573
529	48024.51373
530	48023.09557
531	48022.8875
532	48022.30799
533	48021.79332
534	48020.17737
535	48019.84726
536	48018.22888
537	48017.29437
538	48016.31413
539	48015.87588
540	48013.75657
541	48013.59773
542	48011.88773
543	48011.38886
544	48010.79787
545	48009.72317
546	48008.90915
547	48008.68091
548	48006.97388
549	48006.5035
550	48005.1508
551	48004.61853
552	48004.00406
553	48002.78194
554	48002.57989
555	48000.89073
556	47999.02444
557	47998.67259
558	47996.13784
559	47995.75189
560	47994.31281
561	47993.35192
562	47992.99511
563	47991.93671
564	47990.99799
565	47990.17444
566	47988.81589
567	47987.65375
568	47986.52852
569	47986.10952
570	47985.53601
571	47984.13985
572	47982.87759
573	47981.63974
574	47980.2903
575	47980.13331
576	47979.5997
577	47978.46307
578	47977.36988
579	47976.10575
580	47975.63684
581	47974.88219
582	47973.82895
583	47972.65365
584	47971.5302
585	47970.40552
586	47970.21385
587	47969.65509
588	47969.18776
589	47968.25001
590	47967.56647
591	47966.89102
592	47965.80559
593	47964.88509
594	47964.41881
595	47963.61904
596	47961.16913
597	47960.49593
598	47959.79228
599	47959.14736
600	47958.09356
601	47957.58903
602	47957.0236
603	47956.8176
604	47956.71421
605	47956.41314
606	47956.23358
607	47955.76825
608	47954.90596
609	47954.02337
610	47953.29425
611	47952.91392
612	47952.33484
613	47951.91299
614	47950.82948
615	47949.81423
616	47949.61182
617	47948.82051
618	47948.03508
619	47946.96792
620	47946.56382
621	47946.01214
622	47944.84878
623	47944.7102
624	47944.6292
625	47944.06052
626	47943.83166
627	47943.05558
628	47941.91388
629	47940.99812
630	47940.97207
631	47940.7811
632	47940.46002
633	47940.30239
634	47939.55117
635	47939.52131
636	47938.79098
637	47937.88782
638	47937.68103
639	47937.10203
640	47935.8658
641	47934.73741
642	47933.10885
643	47932.09991
644	47930.97454
645	47930.85086
646	47930.13508
647	47930.069
648	47929.75719
649	47929.42159
650	47928.97437
651	47927.6804
652	47927.2906
653	47926.84943
654	47926.24239
655	47925.73455
656	47925.23356
657	47925.09147
658	47924.1708
659	47923.27334
660	47922.73365
661	47922.09577
662	47921.3142
663	47920.47473
664	47919.36925
