iter	Passed	Remaining
0	0	986
1	1	946
2	2	894
3	3	775
4	3	716
5	4	679
6	4	668
7	5	643
8	5	631
9	6	620
10	6	608
11	7	601
12	7	596
13	8	586
14	8	586
15	9	588
16	10	590
17	10	592
18	11	606
19	12	616
20	13	620
21	13	612
22	14	618
23	15	622
24	16	625
25	16	625
26	17	626
27	18	630
28	18	630
29	19	628
30	20	631
31	20	633
32	21	635
33	22	632
34	22	630
35	23	624
36	23	620
37	24	618
38	25	617
39	25	621
40	26	614
41	26	609
42	27	608
43	27	605
44	28	607
45	29	609
46	30	608
47	30	604
48	31	609
49	32	610
50	32	604
51	33	601
52	33	597
53	33	592
54	34	590
55	35	599
56	36	596
57	36	595
58	37	592
59	37	590
60	38	587
61	38	583
62	39	580
63	39	579
64	40	575
65	40	574
66	41	572
67	41	570
68	42	567
69	42	563
70	42	561
71	43	559
72	43	558
73	44	557
74	44	554
75	45	554
76	46	553
77	46	552
78	47	549
79	47	545
80	47	542
81	48	539
82	48	537
83	49	534
84	49	533
85	49	531
86	50	529
87	50	525
88	51	523
89	51	522
90	52	519
91	52	518
92	52	516
93	53	512
94	53	510
95	53	507
96	54	505
97	54	503
98	55	501
99	55	499
100	55	498
101	56	495
102	56	492
103	57	491
104	57	489
105	58	489
106	58	487
107	58	484
108	59	483
109	59	481
110	59	479
111	60	477
112	60	475
113	60	472
114	61	471
115	61	470
116	61	467
117	62	465
118	62	464
119	62	460
120	63	460
121	63	458
122	64	456
123	64	454
124	64	453
125	65	451
126	65	450
127	65	449
128	66	447
129	66	446
130	66	444
131	67	442
132	67	441
133	68	440
134	68	438
135	68	437
136	69	435
137	69	434
138	69	433
139	70	431
140	70	429
141	70	427
142	71	425
143	71	423
144	71	422
145	72	421
146	72	419
147	72	418
148	73	417
149	73	415
150	73	412
151	73	411
152	74	409
153	74	408
154	74	406
155	74	405
156	75	403
157	75	403
158	76	402
159	76	401
160	76	400
161	76	398
162	77	397
163	77	395
164	78	394
165	78	393
166	78	392
167	78	390
168	79	389
169	79	387
170	79	386
171	80	387
172	80	385
173	80	384
174	81	383
175	81	382
176	81	380
177	82	379
178	82	378
179	82	376
180	83	375
181	83	374
182	83	373
183	84	373
184	84	372
185	84	371
186	85	369
187	85	368
188	85	366
189	85	365
190	86	365
191	86	363
192	86	362
193	87	362
194	87	360
195	87	359
196	87	357
197	88	357
198	88	355
199	88	354
200	89	353
201	89	352
202	89	351
203	89	350
204	90	349
205	90	348
206	90	347
207	90	346
208	91	344
209	91	343
210	91	342
211	92	341
212	92	341
213	92	341
214	93	340
215	93	339
216	93	338
217	94	337
218	94	336
219	94	335
220	94	334
221	95	333
222	95	332
223	95	331
224	96	330
225	96	330
226	96	328
227	96	328
228	97	327
229	97	326
230	97	325
231	98	325
232	98	324
233	98	323
234	99	325
235	100	323
236	100	322
237	100	321
238	100	321
239	101	320
240	101	319
241	101	318
242	102	317
243	102	316
244	102	316
245	102	315
246	103	314
247	103	313
248	103	313
249	104	312
250	104	311
251	104	310
252	104	309
253	105	308
254	105	307
255	105	307
256	106	306
257	106	306
258	106	305
259	107	304
260	107	303
261	107	302
262	107	301
263	107	300
264	108	300
265	108	299
266	108	298
267	109	298
268	109	297
269	109	296
270	109	295
271	110	294
272	110	294
273	110	293
274	111	293
275	111	292
276	111	291
277	112	291
278	112	290
279	112	289
280	113	289
281	113	288
282	113	288
283	113	287
284	114	286
285	114	286
286	114	285
287	115	285
288	115	284
289	115	283
290	116	283
291	116	282
292	117	282
293	117	281
